,P8MEA,URN,LA,ESTAB_x,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER,RECTYPE,ALPHAIND,LEA,BPUP,PBPUP,GPUP,PGPUP,KS2APS,TPRIORLO,PTPRIORLO,TPRIORAV,PTPRIORAV,TPRIORHI,PTPRIORHI,TFSM6CLA1A,PTFSM6CLA1A,ATT8SCR,P8PUP,P8MEACOV,P8PUP_FSM6CLA1A,P8MEA_FSM6CLA1A,P8PUP_NFSM6CLA1A,P8MEA_NFSM6CLA1A,ATT8SCR_LO,P8PUP_LO,P8MEA_LO,ATT8SCR_AV,P8PUP_AV,P8MEA_AV,ATT8SCR_HI,P8PUP_HI,P8MEA_HI,ATT8SCR_GIRLS,P8PUP_GIRLS,P8MEA_GIRLS,ATT8SCR_BOYS,P8PUP_BOYS,P8MEA_BOYS,Gender_BOYS,Gender_GIRLS,AdmitPol_COMP,AdmitPol_MOD,AdmitPol_SEL,Faith_school_Christian,Faith_school_Church of England,Faith_school_Church of England/Christian,Faith_school_Church of England/Roman Catholic,Faith_school_Jewish,Faith_school_Muslim,Faith_school_Roman Catholic,Faith_school_Roman Catholic/Church of England,Faith_school_Sikh,School_type_ACC,School_type_ACCS,School_type_ACS,School_type_CTC,School_type_CY,School_type_CYS,School_type_F,School_type_FD,School_type_FDS,School_type_FS,School_type_FSS,School_type_FUTC,School_type_NMSS,School_type_VA,School_type_VC
1,-0.11,100049.0,202,4104.0,1227.0,497.0,730.0,40.5,59.5,51.0,4.2,94.0,7.7,857.0,370.0,0.0,69.8,30.2,0.0,40.4,732.0,72.3,1,23176.0,202.0,136.0,66.0,71.0,34.0,26.5,40.0,20.0,122.0,61.0,39.0,19.0,156.0,75.0,47.0,201.0,97.0,155.0,-0.13,46.0,-0.06,28.0,40.0,-0.19,47.9,122.0,-0.11,63.0,39.0,-0.06,49.8,69.0,0.15,45.5,132.0,-0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0.18,100050.0,202,4166.0,1114.0,1060.0,54.0,95.2,4.8,14.0,1.3,113.0,10.1,402.0,707.0,5.0,36.1,63.5,0.4,27.8,478.0,54.1,1,39932.0,202.0,0.0,0.0,175.0,100.0,28.6,18.0,11.0,83.0,49.0,68.0,40.0,109.0,62.0,55.6,169.0,97.0,108.0,0.07,61.0,0.38,34.3,18.0,0.28,51.8,83.0,0.1,66.3,68.0,0.26,55.6,169.0,0.18,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,-0.15,100051.0,202,4196.0,831.0,367.0,464.0,44.2,55.8,35.0,4.2,125.0,15.0,692.0,138.0,1.0,83.3,16.6,0.1,38.2,499.0,69.5,1,42930.0,202.0,84.0,61.0,53.0,39.0,25.6,29.0,25.0,71.0,62.0,15.0,13.0,89.0,65.0,43.8,115.0,84.0,84.0,-0.16,31.0,-0.13,32.6,29.0,0.27,46.0,71.0,-0.27,57.5,15.0,-0.4,45.7,46.0,0.05,42.7,69.0,-0.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.09,100052.0,202,4275.0,1205.0,540.0,665.0,44.8,55.2,30.0,2.5,143.0,11.9,697.0,507.0,1.0,57.8,42.1,0.1,22.8,587.0,57.9,1,22308.0,202.0,133.0,65.0,73.0,35.0,26.8,50.0,26.0,95.0,49.0,49.0,25.0,120.0,58.0,50.0,194.0,94.0,114.0,-0.14,80.0,0.43,33.4,50.0,0.06,50.6,95.0,0.19,63.2,49.0,-0.05,56.0,68.0,0.44,46.7,126.0,-0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,-0.26,100053.0,202,4285.0,974.0,346.0,628.0,35.5,64.5,49.0,5.0,69.0,7.1,325.0,638.0,11.0,33.4,65.5,1.1,27.3,404.0,53.0,1,368.0,202.0,109.0,63.0,63.0,37.0,28.3,22.0,13.0,81.0,48.0,66.0,39.0,98.0,57.0,50.1,169.0,98.0,96.0,-0.38,73.0,-0.1,26.0,22.0,-0.75,46.8,81.0,-0.21,63.1,66.0,-0.16,50.5,61.0,-0.13,49.9,108.0,-0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0.31,100054.0,202,4611.0,1006.0,849.0,157.0,84.4,15.6,15.0,1.5,85.0,8.4,405.0,601.0,0.0,40.3,59.7,0.0,17.5,225.0,39.6,1,9318.0,202.0,0.0,0.0,111.0,100.0,29.2,13.0,12.0,41.0,39.0,51.0,49.0,44.0,40.0,60.1,105.0,95.0,43.0,0.04,62.0,0.51,34.8,13.0,0.34,52.6,41.0,0.13,71.7,51.0,0.46,60.1,105.0,0.31,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.16,100055.0,202,4652.0,627.0,494.0,133.0,78.8,21.2,14.0,2.2,80.0,12.8,404.0,223.0,0.0,64.4,35.6,0.0,34.8,335.0,62.3,1,32910.0,202.0,0.0,0.0,92.0,100.0,26.9,15.0,18.0,52.0,61.0,18.0,21.0,62.0,67.0,50.1,85.0,92.0,59.0,0.03,26.0,0.46,34.0,15.0,0.28,52.0,52.0,0.33,59.3,18.0,-0.42,50.1,85.0,0.16,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,-0.37,100056.0,202,4688.0,858.0,103.0,755.0,12.0,88.0,18.0,2.1,92.0,10.7,424.0,434.0,0.0,49.4,50.6,0.0,25.8,349.0,57.1,1,62228.0,202.0,123.0,100.0,0.0,0.0,28.5,12.0,11.0,55.0,48.0,47.0,41.0,70.0,57.0,50.6,114.0,93.0,68.0,-0.68,46.0,0.09,31.8,12.0,-0.14,44.3,55.0,-0.49,61.3,47.0,-0.28,0.0,0.0,0.0,50.6,114.0,-0.37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0.41,100059.0,202,5401.0,1134.0,1086.0,48.0,95.8,4.2,10.0,0.9,70.0,6.2,364.0,770.0,0.0,32.1,67.9,0.0,15.9,388.5,43.9,1,29346.0,202.0,0.0,0.0,172.0,100.0,28.5,16.0,9.0,92.0,54.0,62.0,36.0,77.0,45.0,57.6,170.0,99.0,76.0,0.13,94.0,0.63,34.5,16.0,0.27,55.2,92.0,0.43,67.0,62.0,0.41,57.6,170.0,0.41,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0.36,138449.0,203,4000.0,1046.0,436.0,610.0,41.7,58.3,7.0,0.7,109.0,10.4,273.0,773.0,0.0,26.1,73.9,0.0,37.0,477.5,54.4,1,22694.0,203.0,96.0,63.0,56.0,37.0,26.9,29.0,22.0,71.0,55.0,29.0,22.0,88.0,58.0,52.7,129.0,85.0,78.0,0.41,51.0,0.27,43.3,29.0,0.95,50.3,71.0,0.2,64.9,29.0,0.15,52.0,49.0,0.38,53.1,80.0,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.11,139786.0,203,4002.0,257.0,49.0,208.0,19.1,80.9,7.0,2.7,41.0,16.0,72.0,183.0,2.0,28.0,71.2,0.8,16.2,34.0,38.6,1,58930.0,203.0,45.0,76.0,14.0,24.0,27.5,8.0,16.0,32.0,63.0,11.0,22.0,22.0,37.0,50.7,51.0,86.0,21.0,-0.29,30.0,0.01,40.4,8.0,0.55,48.3,32.0,-0.09,57.6,11.0,-0.67,54.4,13.0,-0.19,49.5,38.0,-0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0.07,100182.0,203,4077.0,1026.0,1002.0,24.0,97.7,2.3,6.0,0.6,73.0,7.1,319.0,698.0,9.0,31.1,68.0,0.9,15.6,349.0,40.7,1,17178.0,203.0,0.0,0.0,143.0,100.0,28.0,13.0,10.0,81.0,63.0,35.0,27.0,47.0,33.0,51.8,129.0,90.0,43.0,-0.21,86.0,0.21,40.3,13.0,0.54,50.6,81.0,0.04,61.7,35.0,-0.06,51.8,129.0,0.07,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0.03,100183.0,203,4130.0,1452.0,1418.0,34.0,97.7,2.3,27.0,1.9,140.0,9.6,628.0,824.0,0.0,43.3,56.7,0.0,23.3,569.0,49.3,1,40924.0,203.0,0.0,0.0,235.0,100.0,26.9,38.0,18.0,119.0,56.0,55.0,26.0,123.0,52.0,48.9,212.0,90.0,118.0,-0.26,94.0,0.39,26.6,38.0,-0.25,49.8,119.0,0.07,64.3,55.0,0.14,48.9,212.0,0.03,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,-0.35,137473.0,203,4243.0,1135.0,468.0,667.0,41.2,58.8,29.0,2.6,123.0,10.8,644.0,491.0,0.0,56.7,43.3,0.0,26.6,548.0,60.2,1,13068.0,203.0,83.0,47.0,95.0,53.0,26.3,28.0,22.0,74.0,57.0,27.0,21.0,127.0,71.0,44.7,129.0,72.0,105.0,-0.36,24.0,-0.29,25.3,28.0,-0.48,44.9,74.0,-0.36,60.5,27.0,-0.18,46.2,66.0,-0.34,42.9,63.0,-0.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.46,141163.0,203,4250.0,1433.0,48.0,1385.0,3.3,96.7,21.0,1.5,138.0,9.6,760.0,607.0,66.0,53.0,42.4,4.6,20.3,565.0,48.6,1,63718.0,203.0,219.0,100.0,0.0,0.0,26.6,42.0,23.0,97.0,52.0,47.0,25.0,111.0,51.0,52.5,186.0,85.0,104.0,0.31,82.0,0.65,38.4,42.0,0.85,52.9,97.0,0.37,66.1,47.0,0.28,0.0,0.0,0.0,52.5,186.0,0.46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
