,Column,Metafile heading
0,73,P8CILOW
1,74,P8CIUPP
2,76,P8MEAENG_CILOW
3,77,P8MEAENG_CIUPP
4,79,P8MEAMAT_CILOW
5,80,P8MEAMAT_CIUPP
6,82,P8MEAEBAC_CILOW
7,83,P8MEAEBAC_CIUPP
8,85,P8MEAOPEN_CILOW
9,86,P8MEAOPEN_CIUPP
10,139,P8CILOW_FSM6CLA1A
11,140,P8CIUPP_FSM6CLA1A
12,144,P8CILOW_NFSM6CLA1A
13,145,P8CIUPP_NFSM6CLA1A
14,148,P8MEAENG_CILOW_FSM6CLA1A
15,149,P8MEAENG_CIUPP_FSM6CLA1A
16,152,P8MEAMAT_CILOW_FSM6CLA1A
17,153,P8MEAMAT_CIUPP_FSM6CLA1A
18,156,P8MEAEBAC_CILOW_FSM6CLA1A
19,157,P8MEAEBAC_CIUPP_FSM6CLA1A
20,160,P8MEAOPEN_CILOW_FSM6CLA1A
21,161,P8MEAOPEN_CIUPP_FSM6CLA1A
22,164,P8MEAENG_CILOW_NFSM6CLA1A
23,165,P8MEAENG_CIUPP_NFSM6CLA1A
24,168,P8MEAMAT_CILOW_NFSM6CLA1A
25,169,P8MEAMAT_CIUPP_NFSM6CLA1A
26,172,P8MEAEBAC_CILOW_NFSM6CLA1A
27,173,P8MEAEBAC_CIUPP_NFSM6CLA1A
28,176,P8MEAOPEN_CILOW_NFSM6CLA1A
29,177,P8MEAOPEN_CIUPP_NFSM6CLA1A
30,187,P8CILOW_LO
31,188,P8CIUPP_LO
32,192,P8CILOW_AV
33,193,P8CIUPP_AV
34,197,P8CILOW_HI
35,198,P8CIUPP_HI
36,202,P8CILOW_EAL
37,203,P8CIUPP_EAL
38,207,P8CILOW_GIRLS
39,208,P8CIUPP_GIRLS
40,212,P8CILOW_BOYS
41,213,P8CIUPP_BOYS
42,217,P8CILOW_NMOB
43,218,P8CIUPP_NMOB
44,222,P8CILOW_15
45,223,P8CIUPP_15
46,6,SCHNAME
47,7,SCHNAME_AC
48,8,ADDRESS1
49,9,ADDRESS2
50,10,ADDRESS3
51,13,TELNUM
